id,first_name,last_name,email,gender,ip_address,EMI's number,roll number,password,address,mark details,parent_name,parent's occupation,contact_details
1,Barbabas,Pollitt,bpollitt0@thetimes.co.uk,Male,70.249.105.159,8,1,Barbabas,8 Ridge Oak Center,error: undefined method `id' for nil:NilClass,Barbabas Pollitt,Administrative Officer,995-306-7199
2,Carolyn,Gummery,cgummery1@telegraph.co.uk,Female,182.254.249.116,5,2,Carolyn,03685 Gateway Road,error: undefined method `id' for nil:NilClass,Carolyn Gummery,Community Outreach Specialist,588-946-0734
3,Duky,Harrold,dharrold2@cdc.gov,Male,175.220.179.182,7,3,Duky,1 Spenser Parkway,error: undefined method `id' for nil:NilClass,Duky Harrold,Legal Assistant,648-635-8217
4,Maris,Di Giorgio,mdi3@smugmug.com,Female,65.14.188.85,3,4,Maris,3771 Anthes Hill,error: undefined method `id' for nil:NilClass,Maris Di Giorgio,Office Assistant III,393-179-1816
5,Ysabel,Morfey,ymorfey4@nyu.edu,Genderfluid,191.152.206.216,6,5,Ysabel,6 Goodland Parkway,error: undefined method `id' for nil:NilClass,Ysabel Morfey,VP Accounting,504-547-6436
6,Si,Sirrell,ssirrell5@cpanel.net,Male,9.168.157.146,5,6,Si,4 Stone Corner Drive,error: undefined method `id' for nil:NilClass,Si Sirrell,Environmental Tech,243-849-4330
7,Alexandra,Lindell,alindell6@cafepress.com,Female,243.49.91.208,8,7,Alexandra,4 Delaware Point,error: undefined method `id' for nil:NilClass,Alexandra Lindell,Geologist IV,770-908-7223
8,Marrilee,Spensley,mspensley7@loc.gov,Female,28.182.31.212,1,8,Marrilee,6 West Parkway,error: undefined method `id' for nil:NilClass,Marrilee Spensley,Human Resources Assistant I,621-836-5380
9,Demetris,Haggerston,dhaggerston8@google.it,Female,88.29.30.58,5,9,Demetris,12 Dunning Crossing,error: undefined method `id' for nil:NilClass,Demetris Haggerston,Administrative Assistant IV,845-909-5161
10,Dani,Questier,dquestier9@nsw.gov.au,Male,186.73.130.96,9,10,Dani,384 Bellgrove Park,error: undefined method `id' for nil:NilClass,Dani Questier,Staff Accountant III,743-706-9082
11,Stacey,Kamienski,skamienskia@squarespace.com,Female,222.214.104.242,5,11,Stacey,211 Porter Center,error: undefined method `id' for nil:NilClass,Stacey Kamienski,VP Accounting,774-725-2461
12,Grethel,Whightman,gwhightmanb@businessinsider.com,Female,84.77.6.221,4,12,Grethel,68228 Clemons Circle,error: undefined method `id' for nil:NilClass,Grethel Whightman,Technical Writer,562-828-4243
13,Boyce,Branno,bbrannoc@vk.com,Male,112.41.98.80,4,13,Boyce,3 Sutteridge Alley,error: undefined method `id' for nil:NilClass,Boyce Branno,Administrative Assistant III,455-424-6360
14,Crista,Godbald,cgodbaldd@ask.com,Female,219.26.56.201,2,14,Crista,64 Transport Parkway,error: undefined method `id' for nil:NilClass,Crista Godbald,Professor,358-823-5389
15,Millicent,Papierz,mpapierze@vinaora.com,Female,62.211.95.45,8,15,Millicent,5248 Iowa Lane,error: undefined method `id' for nil:NilClass,Millicent Papierz,Dental Hygienist,854-152-5992
16,Loydie,Mahony,lmahonyf@mac.com,Male,142.14.36.189,9,16,Loydie,6 Crescent Oaks Avenue,error: undefined method `id' for nil:NilClass,Loydie Mahony,Director of Sales,469-753-0566
17,Cyril,Critchell,ccritchellg@flickr.com,Male,136.253.167.75,3,17,Cyril,83831 Coleman Park,error: undefined method `id' for nil:NilClass,Cyril Critchell,Assistant Manager,394-677-6312
18,Darrell,Clitsome,dclitsomeh@umn.edu,Male,231.35.78.151,4,18,Darrell,781 Sommers Avenue,error: undefined method `id' for nil:NilClass,Darrell Clitsome,Senior Financial Analyst,689-126-4911
19,Odella,Fice,oficei@ebay.com,Non-binary,105.130.56.244,6,19,Odella,9056 Gina Road,error: undefined method `id' for nil:NilClass,Odella Fice,Executive Secretary,360-297-9870
20,Norrie,Vockings,nvockingsj@hexun.com,Male,173.33.10.179,9,20,Norrie,06284 Birchwood Parkway,error: undefined method `id' for nil:NilClass,Norrie Vockings,Librarian,437-304-6732
